"legis.annee","groupe.pol","cabcollab","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
1978,"Communiste","Ancien collaborateur",2,2.63157894736842,0,0,52.5,52.5,49.3506493506493,49.3506493506493,100,100,0,0,100,100,100,100,33.5497835497836,33.5497835497836,50,50,14,14
1978,"Communiste","Jamais collaborateur",86,18.695652173913,15.1162790697674,0,50.9883720930233,52,43.7382736415235,41.8859649122807,0,0,22.093023255814,0,75.5813953488372,100,77.9069767441861,100,43.7382736415235,41.8859649122807,37.2093023255814,0,11.953488372093,8.5
1978,"Non-inscrits","Ancien collaborateur",1,1.31578947368421,0,0,53,53,75,75,100,100,100,100,0,0,100,100,46.4285714285714,46.4285714285714,0,0,21,21
1978,"Non-inscrits","Jamais collaborateur",13,2.82608695652174,7.69230769230769,0,53.8461538461538,55,34.1042112009854,32.258064516129,0,0,69.2307692307692,100,23.0769230769231,0,76.9230769230769,100,34.1042112009854,32.258064516129,38.4615384615385,0,10.2307692307692,8
1978,"RPR/UMP/LR","Ancien collaborateur",38,50,0,0,50.5526315789474,53,64.8546687712151,66.6666666666667,100,100,86.8421052631579,100,2.63157894736842,0,89.4736842105263,100,51.0061611730178,54.6920821114369,26.3157894736842,0,15.7894736842105,16.5
1978,"RPR/UMP/LR","Jamais collaborateur",136,29.5652173913043,2.20588235294118,0,54.7573529411765,56,49.0590590538955,51.5151515151515,0,0,88.2352941176471,100,11.0294117647059,0,75.7352941176471,100,49.0590590538955,51.5151515151515,29.4117647058824,0,14,13
1978,"Socialiste","Ancien collaborateur",7,9.21052631578947,0,0,47.4285714285714,48,48.3810778704234,42.1052631578947,100,100,71.4285714285714,100,0,0,100,100,35.757737501524,26.3157894736842,42.8571428571429,0,12.1428571428571,8
1978,"Socialiste","Jamais collaborateur",114,24.7826086956522,1.75438596491228,0,48.0877192982456,47,40.8788490399665,35.7142857142857,0,0,71.0526315789474,100,28.0701754385965,0,84.2105263157895,100,40.8788490399665,35.7142857142857,46.4912280701754,0,9.66666666666667,7
1978,"Total","Ancien collaborateur",76,100,0,0,49.3026315789474,50.5,56.1330916348444,60.3030303030303,100,100,82.8947368421053,100,6.57894736842105,0,78.9473684210526,100,42.389120485587,45.4545454545455,35.5263157894737,0,13.6710526315789,12.5
1978,"Total","Jamais collaborateur",460,100,4.56521739130435,0,51.5195652173913,53,44.3234682997386,42.1052631578947,0,0,71.304347826087,100,27.3913043478261,0,80.4347826086957,100,44.3234682997386,42.1052631578947,39.5652173913044,0,11.8086956521739,10.5
